date,Factor_1,Factor_2,Is_Entry,Is_Exit
15-01-2021,1.444172441,0.150090574,0,0
18-01-2021,0.055124602,0.015147779,0,1
19-01-2021,0.046067111,0.016509111,0,1
20-01-2021,0.082697974,0.010396675,0,1
21-01-2021,0.154334135,0.029172779,0,1
22-01-2021,0.017550648,0.004404076,0,1
25-01-2021,0.000378769,0.003259952,0,1
27-01-2021,0.233526373,0.009409191,0,1
28-01-2021,0.582157627,0.047798739,0,0
29-01-2021,0.261314988,0.024826352,0,1
01-02-2021,1.416737556,0.125244077,0,0
02-02-2021,1.642936272,0.138396265,0,0
03-02-2021,1.935469034,0.170163018,0,0
04-02-2021,1.627569003,0.146356751,0,0
05-02-2021,1.656791698,0.178159968,0,0
08-02-2021,1.402774841,0.153361294,0,0
09-02-2021,1.802123634,0.235700147,1,0
10-02-2021,1.538158447,0.217102112,1,0
11-02-2021,1.110406213,0.158594765,0,0
12-02-2021,1.057332001,0.157826145,0,0
15-02-2021,0.892392732,0.136951129,0,0
16-02-2021,0.88184753,0.13113261,0,0
17-02-2021,0.212894273,0.025622001,0,1
18-02-2021,0.341576859,0.027568714,0,1
19-02-2021,0.526374488,0.057946357,0,0
22-02-2021,0.737979737,0.090313331,0,0
23-02-2021,0.532694319,0.0675199,0,0
24-02-2021,0.413457962,0.052451472,0,1
25-02-2021,0.43345965,0.051871152,0,1
26-02-2021,0.087385799,0.000278123,0,1
01-03-2021,0.092375678,0.018544913,0,1
02-03-2021,0.220583395,0.031582551,0,1
03-03-2021,0.478703185,0.058873713,0,1
04-03-2021,0.495625069,0.057448255,0,1
05-03-2021,0.814105902,0.09153057,0,0
08-03-2021,1.385972179,0.154873774,0,0
09-03-2021,1.008535862,0.102686113,0,0
10-03-2021,0.067800328,0.003784952,0,1
12-03-2021,0.799727206,0.072258902,0,0
15-03-2021,0.607439142,0.053488296,0,0
16-03-2021,0.40497349,0.033654027,0,1
17-03-2021,0.455061987,0.04480155,0,1
18-03-2021,0.435136406,0.045468598,0,1
19-03-2021,0.785666828,0.077622636,0,0
22-03-2021,0.622945239,0.060106463,0,0
23-03-2021,0.446649847,0.040192665,0,1
24-03-2021,0.601287044,0.058700351,0,0
25-03-2021,0.065940525,0.013513894,0,1
26-03-2021,0.509219436,0.030176505,0,0
30-03-2021,0.234007065,0.007925681,0,1
31-03-2021,0.885683334,0.071948608,0,0
01-04-2021,0.802223449,0.068898659,0,0
05-04-2021,1.371884457,0.113710675,0,0
06-04-2021,1.12363723,0.097332095,0,0
07-04-2021,0.501709349,0.043964754,0,0
08-04-2021,0.830056049,0.079699409,0,0
09-04-2021,0.530589846,0.04266612,0,0
12-04-2021,1.275747443,0.065586631,0,0
13-04-2021,1.248008018,0.083183774,0,0
15-04-2021,1.468965747,0.119797774,0,0
16-04-2021,1.229114452,0.104990246,0,0
19-04-2021,1.17233851,0.091755084,0,0
20-04-2021,1.372474234,0.119707111,0,0
22-04-2021,1.343178221,0.126896417,0,0
23-04-2021,1.186780633,0.117998094,0,0
26-04-2021,0.889929275,0.088081856,0,0
27-04-2021,0.663869414,0.065985649,0,0
28-04-2021,0.181722369,0.012039848,0,1
29-04-2021,0.119490145,0.002160791,0,1
30-04-2021,0.102178591,0.011527934,0,1
03-05-2021,0.043966469,0.008261779,0,1
04-05-2021,0.97713339,0.104201789,0,0
05-05-2021,1.089069783,0.119936101,0,0
06-05-2021,0.949124795,0.108875421,0,0
